,max_depth,max_features,acc,f1,roc
49,30.0,2,0.873,0.6950447056343316,0.9215087723061085
50,30.0,4,0.889,0.7409932390924224,0.9319470658888125
51,30.0,6,0.899,0.7703102265962863,0.937857112216884
52,30.0,8,0.9072000000000001,0.7922248754108153,0.9393863675360329
53,30.0,12,0.9122,0.8048846013384832,0.9423199425188743
54,30.0,16,0.9144,0.8111223733967486,0.9396421370967744
55,30.0,20,0.9144000000000002,0.8110355127426102,0.9413998155456419
56,,1,0.8562,0.6395653804971757,0.9112356297185998
57,,2,0.8672000000000001,0.6762479738145292,0.920502316403569
58,,4,0.8858,0.7337472688687378,0.9302172700754976
59,,6,0.8981999999999999,0.7683892044325571,0.9369847074468085
60,,8,0.9092,0.7961509508980079,0.9398839653397392
61,,12,0.9122,0.8061306651860953,0.9408105267673301
62,,16,0.913,0.8074297513468798,0.9411998112560056
63,,20,0.9144,0.809848995086956,0.9411708562113933
